Benchmark,Device,Device Name,Duration,Kramble,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Batch GPU (sec),Batch,In,Out
skip_sfinae,0,Quadro GV100,,,No,499,0.0010101596753507014,0.0004462484178997469,0.0010037086084037075,0.0005439265200637692,0.0010014759304418617,523,I16,I64
skip_sfinae,0,Quadro GV100,,,Yes,,,,,,,,I32,I8
skip_sfinae,0,Quadro GV100,,,Yes,,,,,,,,I32,I16
skip_sfinae,0,Quadro GV100,,,No,499,0.001010157290581163,0.00048501754313990346,0.001003686870267248,0.0005466560867161739,0.0010014759304418617,523,I32,I32
skip_sfinae,0,Quadro GV100,,,No,499,0.0010101838817635274,0.00045302096806037583,0.0010036930261489573,0.0004856757915143649,0.001001475909284053,524,I32,I64
skip_sfinae,0,Quadro GV100,,,Yes,,,,,,,,I64,I8
skip_sfinae,0,Quadro GV100,,,Yes,,,,,,,,I64,I16
skip_sfinae,0,Quadro GV100,,,Yes,,,,,,,,I64,I32
skip_sfinae,0,Quadro GV100,,,No,499,0.0010101592084168342,0.00044733655275106617,0.0010036638461516183,0.00048495653843800993,0.0010014777976741756,523,I64,I64
skip_sfinae,1,Quadro GP100,,,No,499,0.0010072615390781564,0.00041755776345504055,0.0010025953974179124,0.00031401673972615964,0.0010014743950530773,524,I8,I8
skip_sfinae,1,Quadro GP100,,,No,499,0.0010072623366733464,0.0004115227504783334,0.0010025991167955256,0.0003150799184063617,0.0010014747444909947,524,I8,I16
skip_sfinae,1,Quadro GP100,,,No,499,0.0010073937254509017,0.00047436520440331174,0.0010025578190186219,0.0003174654268713629,0.0010014748609703007,524,I8,I32
skip_sfinae,1,Quadro GP100,,,No,499,0.001007314288577154,0.00044943976467369485,0.0010025514015453848,0.00031771350129621625,0.0010014748609703007,524,I8,I64
skip_sfinae,1,Quadro GP100,,,Yes,,,,,,,,I16,I8
skip_sfinae,1,Quadro GP100,,,No,499,0.0010072553206412834,0.00041747568393080776,0.0010025701303042489,0.0003128921530447738,0.0010014740456151597,524,I16,I16
skip_sfinae,1,Quadro GP100,,,No,499,0.0010072746412825657,0.00041073548319461465,0.0010026024477276384,0.00031052785600836483,0.0010014741620944655,524,I16,I32
skip_sfinae,1,Quadro GP100,,,No,499,0.0010072725270541083,0.0004158366079958995,0.0010025823137803163,0.0003051386556782456,0.0010014741620944655,524,I16,I64
skip_sfinae,1,Quadro GP100,,,Yes,,,,,,,,I32,I8
skip_sfinae,1,Quadro GP100,,,Yes,,,,,,,,I32,I16
skip_sfinae,1,Quadro GP100,,,No,499,0.0010072895851703403,0.00041834159303612994,0.0010025929590026458,0.0002996916722121692,0.0010014740456151597,524,I32,I32
skip_sfinae,1,Quadro GP100,,,No,499,0.0010072442464929862,0.0004215890640515976,0.0010025749361825603,0.0003141386734389898,0.001001474628011689,524,I32,I64
skip_sfinae,1,Quadro GP100,,,Yes,,,,,,,,I64,I8
skip_sfinae,1,Quadro GP100,,,Yes,,,,,,,,I64,I16
skip_sfinae,1,Quadro GP100,,,Yes,,,,,,,,I64,I32
skip_sfinae,1,Quadro GP100,,,No,499,0.001007259180360722,0.000416945457190629,0.0010025870577844691,0.0003166772418677883,0.001001475210408218,524,I64,I64
